date,temperatureMax,temperatureMin,rainTotal,rainPercent,barometerMax,barometerMin,cloudMax,cloudMin,humidityMax,humidityMin
2017-08-15,81.794,54.612,0.155,1.4,30.047,29.912,,,83.0,61.0
2017-08-16,78.03,58.82,0.0,0.0,30.13,29.967,,,85.0,45.655
2017-08-17,79.768,47.84,0.0,0.0,30.122,30.023,,,83.0,53.567
2017-08-18,84.268,56.3,0.492,6.25,30.054,29.829,,,84.0,66.586
2017-08-19,82.636,63.916,0.285,2.43,29.919,29.829,,,85.0,69.31
2017-08-20,80.366,59.9,0.0,0.0,30.156,29.916,,,85.0,57.483
2017-08-21,85.82,55.76,0.0,0.0,30.181,30.15,,,85.0,58.966
2017-08-22,86.912,60.44,0.414,3.12,30.157,29.785,,,84.0,60.897
2017-08-23,76.892,57.2,0.414,4.51,29.918,29.72,,,85.0,57.7
2017-08-24,73.288,52.284,0.026,0.35,30.034,29.881,,,85.0,60.467
2017-08-25,73.903,45.32,0.0,0.0,30.189,30.019,,,85.0,55.0
2017-08-26,77.304,43.88,0.0,0.0,30.307,30.163,,,84.0,45.586
2017-08-27,75.951,40.46,0.0,0.0,30.318,30.242,,,82.0,49.633
2017-08-28,81.5,41.54,0.0,0.0,30.329,30.244,,,83.0,42.862
2017-08-29,75.002,44.24,0.0,0.0,30.331,30.154,,,82.0,52.724
2017-08-30,79.838,50.0,0.0,0.0,30.154,29.842,,,82.0,37.0
2017-08-31,71.712,47.66,0.0,0.0,30.056,29.884,,,83.0,54.276
2017-09-01,62.023,42.26,0.0,0.0,30.113,29.96,,,80.0,52.931
2017-09-02,75.666,36.86,0.0,0.0,30.156,30.078,,,82.0,40.724
2017-09-03,56.188,42.98,0.958,12.5,30.134,29.733,,,84.0,68.655
2017-09-04,78.668,51.62,0.414,5.56,29.774,29.674,,,85.517,59.333
2017-09-05,64.58,57.56,1.036,11.81,29.787,29.633,,,85.0,76.0
2017-09-06,62.197,53.42,0.104,1.39,29.929,29.787,,,87.0,84.0
2017-09-07,71.24,53.582,0.544,6.94,29.94,29.761,,,87.0,70.724
2017-09-08,63.339,48.74,0.052,0.69,30.091,29.838,,,87.0,79.0
2017-09-09,60.663,51.26,0.129,1.39,30.298,30.091,,,87.0,83.0
2017-09-10,70.82,42.8,0.0,0.0,30.397,30.292,,,87.0,55.034
2017-09-11,78.734,40.82,0.0,0.0,30.372,30.187,,,85.0,48.655
2017-09-12,81.272,42.8,0.0,0.0,30.191,29.899,,,84.0,48.552
2017-09-13,85.742,46.94,0.0,0.0,29.916,29.844,,,84.0,49.0
2017-09-14,80.96,52.7,0.0,0.0,29.964,29.827,,,83.0,64.0
2017-09-15,87.506,56.3,0.0,0.0,30.191,29.964,,,84.0,52.0
2017-09-16,86.54,53.78,0.0,0.0,30.272,30.17,,,84.0,56.0
2017-09-17,86.763,53.276,0.026,0.35,30.265,30.174,,,84.0,51.759
2017-09-18,90.277,55.658,0.0,0.0,30.222,30.139,,,83.759,51.0
2017-09-19,86.59,56.021,0.0,0.0,30.22,30.137,,,83.0,48.0
2017-09-20,85.646,51.62,0.0,0.0,30.152,30.017,,,83.759,50.379
2017-09-21,86.205,56.331,0.0,0.0,30.2,30.074,,,84.0,41.233
2017-09-22,86.462,43.34,0.0,0.0,30.2,30.08,,,83.0,36.207
2017-09-23,88.298,46.58,0.0,0.0,30.115,29.984,,,82.0,40.867
2017-09-24,94.174,55.58,0.0,0.0,30.181,30.08,,,83.0,48.0
2017-09-25,95.137,60.08,0.0,0.0,30.226,30.148,,,83.759,47.241
2017-09-26,93.92,57.854,0.0,0.0,30.191,30.076,,,83.379,47.767
2017-09-27,93.274,61.16,0.0,0.0,30.087,29.862,,,84.0,48.233
2017-09-28,71.563,50.222,0.388,2.08,29.936,29.853,,,83.0,51.2
2017-09-29,66.2,39.2,0.0,0.0,29.991,29.927,,,80.0,47.0
2017-09-30,62.18,41.286,0.026,0.35,30.239,29.982,,,81.0,57.233
2017-10-01,71.526,32.54,0.0,0.0,30.242,30.161,,,83.0,43.207
2017-10-02,76.423,34.16,0.0,0.0,30.414,30.183,,,82.0,38.8
2017-10-03,79.34,37.009,0.0,0.0,30.466,30.388,,,82.0,36.621
2017-10-04,83.48,48.92,0.0,0.0,30.41,30.001,,,79.0,43.586
2017-10-05,74.84,49.172,0.259,3.12,30.076,29.973,,,84.0,48.793
2017-10-06,58.82,46.22,0.0,0.0,30.063,29.977,,,84.0,76.0
2017-10-07,68.689,49.677,0.078,1.04,30.071,29.927,,,85.0,70.0
2017-10-08,81.171,59.397,0.285,2.08,29.997,29.72,,,84.0,53.621
2017-10-09,64.58,54.68,1.062,13.89,30.054,29.77,,,85.0,78.0
2017-10-10,78.65,57.56,0.052,0.69,30.139,29.799,,,86.0,57.862
2017-10-11,60.62,45.252,0.0,0.0,30.314,30.139,,,84.0,57.0
2017-10-12,69.142,30.56,0.0,0.0,30.377,30.3,,,83.633,44.3
2017-10-13,69.758,30.74,0.0,0.0,30.386,30.202,,,82.8,42.586
2017-10-14,68.504,51.328,0.0,0.0,30.204,30.13,,,76.0,59.0
2017-10-15,68.72,60.924,0.026,0.35,30.18,29.526,,,76.0,71.0
2017-10-16,,,0.155,1.39,30.071,29.537,,,,
2017-10-17,46.58,35.24,0.0,0.0,30.135,29.971,,,74.0,59.0
2017-10-18,49.82,44.06,0.0,0.0,30.176,29.984,,,62.0,58.0
2017-10-19,61.52,61.52,0.0,0.0,30.159,29.846,,,60.0,60.0
2017-10-20,,,0.0,0.0,30.113,29.875,,,,
2017-10-21,,,0.0,0.0,30.274,30.111,,,,
2017-10-22,54.68,53.656,0.0,0.0,30.311,30.266,,,76.0,76.0
2017-10-23,,,0.0,0.0,30.3,30.058,,,,
2017-10-24,,,0.207,2.08,30.058,29.7,,,,
2017-10-25,,,0.0,0.0,29.744,29.678,,,,
2017-10-26,,,1.062,14.24,29.809,29.654,,,,
2017-10-27,,,0.104,1.39,29.962,29.654,,,,
2017-10-28,64.015,56.12,0.0,0.0,29.96,29.774,,,73.0,69.0
2017-10-29,,,0.129,1.74,29.823,29.526,,,,
2017-10-30,,,0.388,18.52,29.526,28.906,,,,
2017-10-31,44.96,42.62,0.026,0.49,29.966,29.606,,,76.0,68.0
2017-11-01,,,0.0,0.0,30.193,29.962,,,,
2017-11-02,,,0.44,5.9,30.154,29.967,,,,
2017-11-03,,,0.259,3.11,30.13,29.799,,,,
2017-11-04,54.14,52.652,0.0,0.0,30.29,30.13,,,74.0,70.0
2017-11-05,56.858,50.18,0.078,1.04,30.259,29.835,,,79.0,58.0
2017-11-06,58.795,41.54,0.466,6.25,29.991,29.648,,,86.345,79.0
2017-11-07,41.447,29.219,0.0,0.0,30.15,29.991,,,85.0,67.0
2017-11-08,48.517,17.96,0.0,0.0,30.128,30.047,,,82.0,54.517
2017-11-09,46.76,19.76,0.0,0.0,30.089,29.687,,,81.0,52.0
2017-11-10,44.36,17.29,0.155,1.74,30.1,29.493,,,76.0,51.0
2017-11-11,31.019,14.36,0.0,0.0,30.455,30.1,,,66.0,53.276
2017-11-12,39.69,16.7,0.0,0.0,30.423,30.263,,,71.0,44.0
2017-11-13,35.96,17.96,0.0,0.0,30.364,30.207,,,73.0,58.0
2017-11-14,35.6,30.38,0.0,0.0,30.277,30.163,,,76.0,68.0
2017-11-15,49.174,24.62,0.0,0.0,30.224,29.949,,,80.0,56.0
2017-11-16,46.196,30.69,0.026,0.35,29.949,29.512,,,77.0,61.0
2017-11-17,40.261,16.652,0.0,0.0,29.966,29.565,,,79.0,66.0
2017-11-18,36.68,12.951,0.026,0.35,29.964,29.36,,,77.0,67.0
2017-11-19,45.134,28.04,0.622,8.33,29.428,28.877,,,85.0,73.667
2017-11-20,29.12,20.3,0.0,0.0,29.853,29.428,,,77.0,62.0
2017-11-21,50.13,20.12,0.104,1.39,29.884,29.624,,,80.0,47.0
2017-11-22,44.6,30.74,0.104,1.39,29.859,29.692,,,78.0,51.0
2017-11-23,31.352,16.16,0.0,0.0,29.954,29.77,,,77.0,59.0
2017-11-24,43.7,27.32,0.104,1.39,29.775,29.591,,,75.0,60.0
2017-11-25,55.94,37.89,0.026,0.35,29.602,29.406,,,75.0,44.0
2017-11-26,42.26,20.3,0.155,2.08,29.751,29.478,,,81.0,71.0
2017-11-27,29.48,16.4,0.0,0.0,30.106,29.584,,,81.0,66.0
2017-11-28,41.36,6.998,0.207,2.78,30.17,29.894,,,72.0,59.0
2017-11-29,48.274,28.07,0.155,2.08,30.198,29.726,,,78.0,60.0
2017-11-30,41.9,15.26,0.0,0.0,30.233,29.744,,,78.0,51.0
2017-12-01,41.36,32.36,0.207,2.78,30.145,29.77,,,84.0,57.0
2017-12-02,37.628,30.38,0.0,0.0,30.178,30.087,,,82.0,70.0
2017-12-03,39.53,25.7,0.0,0.0,30.15,30.023,,,83.0,73.0
2017-12-04,45.32,21.2,0.0,0.0,30.283,30.117,,,82.633,67.0
2017-12-05,47.846,35.012,0.129,1.74,30.22,29.657,,,80.0,65.0
2017-12-06,49.352,30.976,0.285,3.82,29.692,29.504,,,84.0,59.0
2017-12-07,33.44,29.48,0.0,0.0,29.715,29.644,,,72.0,59.0
2017-12-08,33.577,23.9,0.0,0.0,29.798,29.698,,,74.0,59.0
